Abovce	48.31869	20.33647
Abrahám	48.24838	17.61882
Abrahámovce	49.04334	20.45506
Abramová	48.93601	18.79558
Abranovce	48.93176	21.34528
Adamovské Kochanovce	48.85314	17.92587
Adidovce	49.01526	22.03697
Alekšince	48.36641	17.9479
Andovce	47.99337	18.10513
Andrejová	49.33593	21.3336
Ardanovce	48.53728	17.90688
Ardovo	48.53199	20.41509
Arnutovce	48.97892	20.49465
Babie	49.06985	21.49127
Babindol	48.28918	18.23809
Babinec	48.5185	20.00451
Babiná	48.4352	19.09106
Babín	49.33075	19.38068
Bacúch	48.85	19.83333
Bacúrov	48.51965	19.05984
Badín	48.66375	19.12319
Bajany	48.60259	22.10878
Bajerov	48.95345	21.11529
Bajerovce	49.21383	20.79751
Bajka	48.15064	18.51795
Bajtava	47.85592	18.74936
Bajč	47.92624	18.20744
Baka	47.9076	17.52175
Baldovce	48.99229	20.71376
Balog nad Ipľom	48.08117	19.12856
Baloň	47.82586	17.67785
Baláže	48.81399	19.19569
Banka	48.5855	17.85541
Banská Belá	48.47466	18.93367
Banská Bystrica	48.73946	19.15349
Banská Štiavnica	48.44858	18.91003
Banské	48.82985	21.57581
Banský Studenec	48.44891	18.96694
Bara	48.42206	21.72689
Barca	48.68134	21.26176
Bardejov	49.29175	21.27271
Bardoňovo	48.10874	18.422
Bartošova Lehôtka	48.65231	18.91304
Bartošovce	49.19536	21.27696
Batizovce	49.07611	20.18497
Bačka	48.44208	22.04943
Bačkov	48.73991	21.62321
Bačkovík	48.78282	21.43158
Baďan	48.33035	18.85483
Baňa	48.66667	20.51667
Baška	48.70665	21.18396
Baškovce	49.03245	21.83675
Bašovce	48.63359	17.7965
Becherov	49.41968	21.31309
Beckov	48.79219	17.89319
Beharovce	49.0039	20.81306
Beladice	48.34408	18.28988
Belejovce	49.37393	21.54288
Belina	48.24253	19.85133
Belince	48.45973	18.10128
Bellova Ves	48.09079	17.51305
Beloveža	49.296	21.3683
Beluj	48.35009	18.89616
Beluša	49.0649	18.32685
Belá	48.81815	21.08311
Belá nad Cirochou	48.97496	22.10759
Belá-Dulice	49.00162	18.97991
Belín	48.34157	20.10851
Belža	48.57933	21.27134
Beniakovce	48.76815	21.31625
Benice	49.07396	19.56266
Benkovce	48.95091	21.70955
Bernolákovo	48.20068	17.30186
Bertotovce	49.02159	21.02423
Betlanovce	48.98117	20.38977
Betliar	48.70275	20.50805
Beňadikovce	49.23109	21.54753
Beňadiková	49.07563	19.68048
Beňadovo	49.43195	19.34226
Beňatina	48.80884	22.32639
Beňuš	48.82877	19.7616
Beša	48.53558	21.95139
Bešeňov	48.04528	18.26416
Bešeňová	49.10021	19.43472
Bežovce	48.62875	22.15354
Bidovce	48.73622	21.43948
Biel	48.40895	22.05915
Bielovce	47.99346	18.77461
Biely Kostol	48.36755	17.53036
Bijacovce	49.02378	20.7994
Biskupice	48.70976	18.24257
Biskupová	48.46288	17.98356
Bitarová	49.20844	18.67181
Blahová	48.09431	17.55446
Blatnica	48.937	18.92448
Blatná Polianka	48.68952	22.10592
Blatná na Ostrove	48.00835	17.4426
Blatné	48.2666	17.41919
Blatné Remety	48.7081	22.10409
Blatné Revištia	48.73828	22.07954
Blažice	48.66715	21.41057
Blažovce	48.93901	18.84665
Blesovce	48.5594	18.0369
Blhovce	48.27512	19.95383
Bobot	48.80602	18.19137
Bobrov	49.42865	19.54124
Bobrovec	49.12113	19.61411
Bobrovník	49.11618	19.47677
Bobrovček	49.14365	19.6045
Bodiná	49.10811	18.56436
Bodorová	48.90476	18.84957
Bodovce	49.11228	21.17657
Bodružal	49.35223	21.71202
Bodza	47.83639	17.82918
Bodzianske Lúky	47.88894	17.90446
Bodíky	47.92316	17.45953
Bogliarka	49.27986	21.15095
Bohdanovce	48.65607	21.40095
Bohdanovce nad Trnavou	48.42996	17.5447
Boheľov	47.91862	17.69234
Bohunice	48.48024	17.64206
Bohúňovo	48.51209	20.39062
Bojnice	48.78511	18.5864
Bojničky	48.39006	17.79781
Bojná	48.5752	18.05512
Boldog	48.23719	17.43072
Boleráz	48.46808	17.49478
Bolešov	48.9873	18.15509
Boliarov	48.80268	21.43251
Borcová	48.92878	18.83927
Borinka	48.26206	17.0858
Borovce	48.5725	17.74556
Borová	48.3872	17.44523
Borský Mikuláš	48.6309	17.21448
Borský Svätý Jur	48.61366	17.04658
Bory	48.18078	18.75173
Borčany	48.65876	18.21987
Borčice	48.97815	18.14148
Borša	48.39436	21.70416
Bottovo	48.31273	20.15014
Bočiar	48.59098	21.23537
Boľ	48.47277	21.94446
Boľkovce	48.3372	19.77001
Bošany	48.57883	18.24864
Bošáca	48.82901	17.84037
Boťany	48.4447	22.09259
Bracovce	48.64617	21.83899
Branovo	48.02323	18.30803
Branč	48.21869	18.14423
Bratislava	48.14816	17.10674
Braväcovo	48.83914	19.74481
Brdárka	48.76686	20.33894
Brehov	48.48359	21.81499
Brehy	48.91667	22.06667
Brekov	48.90641	21.83606
Brestov	49.11122	21.93876
Brestov nad Laborcom	49.11337	21.95326
Brestovany	48.38677	17.6875
Brestovec	47.86339	17.82283
Bretejovce	48.82772	21.29572
Bretka	48.48843	20.34089
Breza	49.38761	19.38435
Brezany	49.18885	18.6715
Brezina	48.54834	21.56049
Breziny	48.51558	19.10269
Breznica	49.16182	21.65821
Breznička	49.22298	21.70389
Brezno	48.80431	19.63631
Brezolupy	48.70132	18.29986
Brezov	49.14417	21.49233
Brezovec	48.93513	22.38636
Brezovica	49.3419	19.65255
Brezovička	49.1287	20.85497
Brezovka	49.27146	21.42043
Brezová pod Bradlom	48.66349	17.53905
Brežany	48.97871	21.11076
Brhlovce	48.22143	18.73928
Brieštie	48.92094	18.73607
Brodské	48.69089	17.01448
Brodzany	48.60828	18.34537
Brunovce	48.67415	17.85333
Brusnica	49.1532	21.69791
Brusno	48.79237	19.38219
Brusník	48.53758	20.15287
Brutovce	49.08585	20.77616
Bruty	47.92316	18.57973
Brvnište	49.21097	18.43069
Brzotín	48.631	20.49567
Buclovany	49.1553	21.36517
Budikovany	48.48842	20.08824
Budimír	48.79953	21.30162
Budince	48.54471	22.12329
Budiná	48.43333	19.6
Budiš	48.8729	18.75847
Budkovce	48.63216	21.93057
Budmerice	48.35756	17.40715
Budča	48.57384	19.06937
Buglovce	48.98566	20.6952
Bukovce	49.26917	21.7152
Bukovec	48.71032	21.1518
Bukovina	48.83402	21.35972
Buková	49.26043	18.59377
Bulhary	48.29351	19.84806
Bunetice	48.86088	21.39341
Bunkovce	48.7249	22.11687
Buzica	48.53221	21.07614
Buzitka	48.32903	19.81055
Bučany	48.41582	17.69721
Bušince	48.17455	19.50117
Bušovce	49.21781	20.48665
Bystrany	48.9487	20.75976
Bystričany	48.65967	18.51533
Bystrička	49.18333	19.13333
Bystrá	49.00552	20.25285
